period,stratum,sex,group,target_events,reference_events,population
2020-01,40-59,F,exposed,0,0,0
2020-01,40-59,F,unexposed,0,283,1536127
2020-02,40-59,F,exposed,0,0,0
2020-02,40-59,F,unexposed,0,213,1533562
2020-03,40-59,F,exposed,0,0,0
2020-03,40-59,F,unexposed,1,275,1530990
2020-04,40-59,F,exposed,0,0,0
2020-04,40-59,F,unexposed,1,248,1528429
2020-05,40-59,F,exposed,0,0,0
2020-05,40-59,F,unexposed,1,230,1525861
2020-06,40-59,F,exposed,0,0,0
2020-06,40-59,F,unexposed,0,251,1523290
2020-07,40-59,F,exposed,0,0,0
2020-07,40-59,F,unexposed,0,253,1520730
2020-08,40-59,F,exposed,0,0,0
2020-08,40-59,F,unexposed,2,248,1518161
2020-09,40-59,F,exposed,0,0,0
2020-09,40-59,F,unexposed,5,272,1515590
2020-10,40-59,F,exposed,0,0,0
2020-10,40-59,F,unexposed,36,266,1513028
2020-11,40-59,F,exposed,0,0,0
2020-11,40-59,F,unexposed,48,290,1510461
2020-12,40-59,F,exposed,0,0,4186
2020-12,40-59,F,unexposed,54,262,1503703
2021-01,40-59,F,exposed,0,1,61725
2021-01,40-59,F,unexposed,57,294,1453860
2021-02,40-59,F,exposed,1,4,85661
2021-02,40-59,F,unexposed,77,242,1429959
2021-03,40-59,F,exposed,8,8,195735
2021-03,40-59,F,unexposed,150,258,1319920
2021-04,40-59,F,exposed,2,21,289641
2021-04,40-59,F,unexposed,67,249,1226050
2021-05,40-59,F,exposed,1,42,770496
2021-05,40-59,F,unexposed,22,194,745227
2021-06,40-59,F,exposed,1,62,934798
2021-06,40-59,F,unexposed,8,201,580959
2021-07,40-59,F,exposed,0,96,1001422
2021-07,40-59,F,unexposed,0,171,514377
2021-08,40-59,F,exposed,0,100,1035986
2021-08,40-59,F,unexposed,0,162,479844
2021-09,40-59,F,exposed,1,107,1052197
2021-09,40-59,F,unexposed,1,129,463667
2021-10,40-59,F,exposed,1,132,1073956
2021-10,40-59,F,unexposed,6,154,441942
2021-11,40-59,F,exposed,12,115,1128740
2021-11,40-59,F,unexposed,30,144,387195
2021-12,40-59,F,exposed,10,136,1144051
2021-12,40-59,F,unexposed,72,147,371916
2022-01,40-59,F,exposed,4,123,1151283
2022-01,40-59,F,unexposed,23,123,373869
2022-02,40-59,F,exposed,8,132,1152201
2022-02,40-59,F,unexposed,13,110,377051
2022-03,40-59,F,exposed,3,154,1152940
2022-03,40-59,F,unexposed,5,109,380416
2022-04,40-59,F,exposed,3,159,1153247
2022-04,40-59,F,unexposed,3,108,384214
2022-05,40-59,F,exposed,0,149,1153489
2022-05,40-59,F,unexposed,0,97,388072
2022-06,40-59,F,exposed,1,148,1153579
2022-06,40-59,F,unexposed,0,84,392085
2022-07,40-59,F,exposed,2,148,1153693
2022-07,40-59,F,unexposed,1,99,396075
2022-08,40-59,F,exposed,2,161,1153822
2022-08,40-59,F,unexposed,3,101,400041
2022-09,40-59,F,exposed,3,156,1153854
2022-09,40-59,F,unexposed,2,97,404112
2022-10,40-59,F,exposed,5,158,1153852
2022-10,40-59,F,unexposed,0,103,408222
2022-11,40-59,F,exposed,1,169,1153774
2022-11,40-59,F,unexposed,3,86,412397
2022-12,40-59,F,exposed,3,198,1153623
2022-12,40-59,F,unexposed,0,103,416652
2023-01,40-59,F,exposed,1,168,1147243
2023-01,40-59,F,unexposed,1,98,431182
2023-02,40-59,F,exposed,0,141,1147149
2023-02,40-59,F,unexposed,1,94,432351
2023-03,40-59,F,exposed,2,175,1147014
2023-03,40-59,F,unexposed,0,93,433567
2023-04,40-59,F,exposed,0,138,1146892
2023-04,40-59,F,unexposed,0,88,434764
2023-05,40-59,F,exposed,0,161,1146744
2023-05,40-59,F,unexposed,0,79,435988
2023-06,40-59,F,exposed,0,155,1146596
2023-06,40-59,F,unexposed,0,82,437212
2023-07,40-59,F,exposed,0,158,1146440
2023-07,40-59,F,unexposed,0,90,438450
